status,cocos4_symbol,cocos4_kind,cocos4_module,cocos4_path,cocos4_line,rust_symbol,rust_kind,rust_module,rust_path,rust_line,notes,cocos4_signature,rust_signature
missing,arc,function,2d,cocos/2d/assembler/graphics/helper.ts,38,,,,,,no public Rust symbol candidate found by current scanner,"export function arc (ctx: Impl, cx: number, cy: number, r: number, startAngle: number, endAngle: number, counterclockwise: boolean): void {",
missing,ellipse,function,2d,cocos/2d/assembler/graphics/helper.ts,100,,,,,,no public Rust symbol candidate found by current scanner,"export function ellipse (ctx: Impl, cx: number, cy: number, rx: number, ry: number): void {",
missing,roundRect,function,2d,cocos/2d/assembler/graphics/helper.ts,109,,,,,,no public Rust symbol candidate found by current scanner,"export function roundRect (ctx: Impl, x: number, y: number, w: number, h: number, r: number): void {",
missing,tesselateBezier,function,2d,cocos/2d/assembler/graphics/helper.ts,129,,,,,,no public Rust symbol candidate found by current scanner,export function tesselateBezier (,
missing,LineCap,enum,2d,cocos/2d/assembler/graphics/types.ts,33,,,,,,no public Rust symbol candidate found by current scanner,export enum LineCap {,
missing,LineJoin,enum,2d,cocos/2d/assembler/graphics/types.ts,60,,,,,,no public Rust symbol candidate found by current scanner,export enum LineJoin {,
missing,PointFlags,enum,2d,cocos/2d/assembler/graphics/types.ts,85,,,,,,no public Rust symbol candidate found by current scanner,export enum PointFlags {,
missing,earcut,function,2d,cocos/2d/assembler/graphics/webgl/earcut.ts,642,,,,,,no public Rust symbol candidate found by current scanner,"export function earcut (datas: number[], holeIndices: number[] | null, dim: number): number[] {",
missing,GraphicsAssembler,class,2d,cocos/2d/assembler/graphics/webgl/graphics-assembler.ts,75,,,,,,no public Rust symbol candidate found by current scanner,export class GraphicsAssembler implements IAssembler {,
missing,graphicsAssembler,const,2d,cocos/2d/assembler/graphics/webgl/graphics-assembler.ts,679,,,,,,no public Rust symbol candidate found by current scanner,export const graphicsAssembler = new GraphicsAssembler();,
same-name-candidate,Point,class,2d,cocos/2d/assembler/graphics/webgl/impl.ts,33,Point,type,math,src/math/vec2.rs,554,name-normalized exact match in a different module; manual review required,export class Point extends Vec2 {,pub type Point = Vec2;
same-name-candidate,Path,class,2d,cocos/2d/assembler/graphics/webgl/impl.ts,55,path,mod,core,src/core/utils/mod.rs,8,name-normalized exact match in a different module; manual review required,export class Path {,pub mod path;
missing,Impl,class,2d,cocos/2d/assembler/graphics/webgl/impl.ts,70,,,,,,no public Rust symbol candidate found by current scanner,export class Impl {,
missing,bmfont,const,2d,cocos/2d/assembler/label/bmfont.ts,55,,,,,,no public Rust symbol candidate found by current scanner,export const bmfont = new Bmfont();,
missing,BmfontUtils,class,2d,cocos/2d/assembler/label/bmfontUtils.ts,49,,,,,,no public Rust symbol candidate found by current scanner,export class BmfontUtils {,
missing,ISharedLabelData,interface,2d,cocos/2d/assembler/label/font-utils.ts,36,,,,,,no public Rust symbol candidate found by current scanner,export interface ISharedLabelData {,
missing,CanvasPool,class,2d,cocos/2d/assembler/label/font-utils.ts,43,,,,,,no public Rust symbol candidate found by current scanner,export class CanvasPool {,
missing,LetterRenderTexture,class,2d,cocos/2d/assembler/label/font-utils.ts,222,,,,,,no public Rust symbol candidate found by current scanner,export class LetterRenderTexture extends Texture2D {,
missing,LetterAtlas,class,2d,cocos/2d/assembler/label/font-utils.ts,268,,,,,,no public Rust symbol candidate found by current scanner,export class LetterAtlas {,
missing,IShareLabelInfo,interface,2d,cocos/2d/assembler/label/font-utils.ts,421,,,,,,no public Rust symbol candidate found by current scanner,export interface IShareLabelInfo {,
missing,shareLabelInfo,const,2d,cocos/2d/assembler/label/font-utils.ts,437,,,,,,no public Rust symbol candidate found by current scanner,export const shareLabelInfo: IShareLabelInfo = {,
